Name,Interests,Department
Randy Katz,trusted and reliable network computing,Division of Computer Science/EECS
Randy Schekman,saccharomyces cerevisiae~organelle assembly~intracellular protein transport~assembly of cellular organelles~Alzheimer&#039;s Disease,Department of Molecular &amp; Cell Biology
Raphael Bousso,physics~quantum mechanics~gravity~unified description of nature~string theory~quantum properties of black holes~the geometry of spacetime~covariant entropy bound~cosmological constant,Department of Physics
Raphael Sealey,legal history~ancient history~ancient Greece: political and constitutional,Department of History
Ras Bodik,programming languages~web browsers~mobile computing~compilers and virtual machines~JavaScript~low-power computing.,College of Engineering
Rashi Glazer,knowledge management~marketing strategy~decision-making~High-technology marketing~Information-intensive marketing~Consumer and managerial decision making~E-business~E-commerce Marketing strategy,Haas School of Business
Rasmus Nielsen,statistical and computational aspects of evolutionary theory and genetics,Department of Integrative Biology~Department of Statistics
Ravenna Helson,personality~psychology~adult development~psychology of women~creativity~enduring affective-cognitive styles~life choices~roles~retirement~changes in the self~the development of wisdom~gender issues,Department of Psychology
Ray R. Larson,Information Retrieval system design and evaluation~database management,School of Information
Raymond B. Seed,geotechnical earthquake engineering~soil/structure interaction~slope stability~performance of dams~waste fills,Department of Civil and Environmental Engineering
Raymond Jeanloz,planetary geophysics~high-pressure physics~national and international security~science-based policy,Department of Astronomy~Department of Earth and Planetary Science
Raymond Lifchez,architecture~patronage of the arts~post revolutionary France,Department of Architecture
Raymond Miles,new forms of global organizational strategy and structures~dynamic network organizations~service industries~cellular firms~impact of managerial philosophies~strategy design~structure design,Haas School of Business
Rebecca McLennan,North America: 1763-present~law &amp; society~crime &amp; punishment~prisons~society &amp; culture~capitalism~global foodways.,Department of History
Rebecca W. Heald,cell division~Xenopus~mitotic spindle assembly and function~size control of intracellular structures,Department of Molecular &amp; Cell Biology
Reginald H. Barrett,environmental science~policy &amp; management~introduced species~species and land use ecology~land use planning~terrestrial vertebrates~human impact on wildlife~tule elk~wild pigs,"Department of Environmental Science, Policy &amp; Management"
Reinhard Genzel,physics~existence and formation of black holes in galactic nuclei~the nature of the power source~the evolution of (ultra)luminous infrared galaxies~gas dynamics~the fueling of active galactic nuclei~the properties evolution of starburst galaxies,Department of Physics
Renaissance Italy and Europe,Spanish Empire~early modern Mediterranean,Department of History
Renate Holub,feminist theory~human rights~Arendt~knowledge and morality regimes in Europe~multicultural rights~Muslim intellectuals~critical theory and globalization~intellectuals and rights and states~Gramsci~Vico~Benjamin~Polanyi~Comparative European Studies~evolution of rights and laws~global democratic consciousness~jurisprudence of conscience,Interdisciplinary Studies (ISF)
Rene Davids,architecture and urban design and theory,Department of Architecture
Renee Y. Chow,urban design~architectural design,Department of Architecture
Rhona S. Weinstein,community psychology~educational inequality and the achievement gap~teacher expectations and self-fulfilling prophecies~classroom and school reform,Department of Psychology
Rhonda Righter,modeling~optimization~stochastic systems~systems with uncertainty,Department of Industrial Engineering &amp; Operations Research
Richard A. Andersen,chemistry~inorganic chemistry~organometallic chemistry,Department of Chemistry
Richard A. Mathies,genomics~biophysical~bioanalytical~physical chemistry; laser spectroscopy~resonance Raman~excited-state reaction dynamics photoactive proteins~rhodopsins~microfabricated chemical biochemical analysis devices~forensics~infectious disease detection,Department of Chemistry
Richard A. Muller,astrophysics~geophysics~physics~elementary particle physics~cosmic micro wave background~supernovae for cosmology~origin of the earth&#039;s magnetic flips~Nemesis theory~glacial cycles~red sprites~lunar impacts~iridium measurement,Department of Physics
Richard A. Rhodes,American Indian languages~lexical semantics~lexicography~Algonquian languages~Ojibwe~Mixe-Zoquean languages~mixed languages~Michif (MÃ©tchif)~Sayula Popoluca (SayuleÃ±o),Department of Linguistics
Richard A. Walker,race~environment~urbanism~politics~geography~resources~economic geography~regional development~capitalism~cities~California~class,Department of Geography
Richard Abrams,politics~recent U.S. history: business foreign relations~etc.,Department of History
Richard Allen,seismology earthquakes earthquake hazard mitigation earth structure tomography natural hazards,Department of Earth and Planetary Science
Richard B. Norgaard,energy~resources~policy process~understanding of systems~environmental problems challenging scientific understanding~globalization effects~tropical forestry and agriculture~environmental epistemology~energy economics~ecological economics,Energy &amp; Resources Group
Richard Borcherds,mathematics~lie algebras~vertex algebras~automorphic forms,Department of Mathematics
Richard C. Van Sluyters,optometry~vision science~Mammalian developmental visual neurobiology,School of Optometry
Richard Calendar,listeria monocytogenes~phage-based integration vector~Bacillus anthracis~vaccine,Department of Molecular &amp; Cell Biology
Richard Candida Smith,identity~memory~narrative~19th and 20th century US cultural and intellectual history~cultural interaction and exchange with France and Latin America~oral history and personal testimony as historical sources,Department of History
Richard E. Barlow,industrial engineering and operations~reliability theory~statistical data analysis~Bayesian probability modeling,Department of Industrial Engineering &amp; Operations Research
Richard E. Goodman,rock mechanics~characterization and analysis of discontinuous rocks,Department of Civil and Environmental Engineering
Richard Gilbert,economics~industrial organization~regulation~market power in electricity networks~market structure~organizational structure~and r&amp;d diversity~antitrust policy evolution,Department of Economics
Richard H. Kramer,cells~synaptic transmission~chemical signaling between neurons~ion channels~electrical signals~chemical reagents~synapses,Department of Molecular &amp; Cell Biology
Richard Harland,molecular biology~early vertebrate development~Xenopus~embryo development,Department of Molecular &amp; Cell Biology
Richard Hindle,patents~landscape architecture~ecology~technology~innovation~fabrication~horticulture,Landscape Architecture &amp; Environmental Planning
Richard Hutson,literature,Department of English
Richard Ivry,cognitive neuroscience~behavior~cognition~brain~attention~coordination~psychology~motor and perceptual processes in normal and neurologically impaired populations~temporal processing~executive control,Department of Psychology~Helen Wills Neuroscience Institute
Richard J. Fateman,scientific programming environments; algebraic manipulation by computer (programs like Macsyma~Mathematica~Maple~Axiom~Reduce); distributed computing; analysis of algorithms; programming and measurement of large systems; design and implementation of p,Division of Computer Science/EECS
Richard J. Saykally,physical chemistry~surface science~analytical chemistry~materials solid state chemistry~laser spectroscopy methods~X-ray spectroscopy~molecular astrophysics~novel forms of matter~nonlinear optical molecular imaging(NMI)~water clusters,Department of Chemistry
Richard K. Hernandez,journalism~new media~Mobile~visual storytelling,School of Journalism
Richard Karp,computational molecular biology~genomics~DNA molecules~structure of genetic regulatory networks~combinatorial and statsitical methods,Division of Computer Science/EECS
Richard Kern,literacy~second language acquisition~writing~psycholinguistics~reading~French language~French linguistics~technology and education,Department of French
Richard Klein,astronomy~star formation~interstellar medium~coupled radiation-gas dynamical flows~supernova shockwaves~hydrodynamic collisions~high-energy astrophysics~photon bubble oscillations~hydro dynamics,Department of Astronomy
Richard Lyons,foreign exchange markets,Haas School of Business
Richard M. Buxbaum,law~corporation law~comparative and international economic law,Boalt Hall School of Law
Richard M. Scheffler,public health~health and social behavior~health policy and management~health services &amp; policy analysis~global health~health economics~Health Workforce~Human Resources for Health~Health Market Analysis,Goldman School of Public Policy~School of Public Health
Richard Malkin,microbial biology~plant biology,College of Natural Resources~Department of Plant and Microbial Biology
Richard Marrus,physics~spectroscopy of one- and two-electron ions~beam-foil method~measurement of the hyperfine structure~hyperfine structure of the ground state of hydrogenic bismuth~atomic experiments,Department of Physics
Richard Packard,physics~condensed matter physics~experimental low temperature physics~quantum liquids~superfluid~surface waves in superfluid~liquid helium,Department of Physics
Richard S. Dodd,environmental policy~environmental science~policy &amp; management~forestry~wildlife~plant biology,"Environmental Science, Policy &amp; Management"
Richard S. Muller,electromagnetics~robotics~control~integrated circuits~optoelectronics~plasmas~solid-state devices~biosystems~microsystem technologies~sensors~actuators~microelectromechanical systems,Division of Electrical Engineering/EECS
Richard Stanton,mortgage markets~prepayment modeling~valuation~hedging~term structure modeling valuation of derivative securities~application of non-parametric estimation techniques~pricing of derivatives,Haas School of Business
Richard Stephens,molecular genetics~microbiology~infectious disease~pathogenesis,School of Public Health
Richard Taruskin,nationalism~music~musicology~theory of performance~Russian music~twentieth-century music~theory of modernism~analysis,Department of Music
Richmond Sarpong,organic and organometallic chemistry,Department of Chemistry
Rita Lucarelli,Egyptology,Department of Near Eastern Studies
Rob York,forest ecology~silviculture~forest management~Giant sequoia~mixed conifer forest~forest dynamics~forest regeneration~forest operations,"Department of Environmental Science, Policy &amp; Management"
Robert A. Harris,molecules~radiation~theoretical chemistry~atoms~weak interactions~condensed matter.,Department of Chemistry
Robert A. Kagan,environmental law~corporations~labor law~labor relations,Department of Political Science
Robert Alter,comparative literature~Near Eastern studies~19th-century European and American novel~modernism~literary aspects of the bible~modern and biblical Hebrew literature,Department of Comparative Literature~Department of Near Eastern Studies
Robert Ashmore,China~lyric poetry~Chinese literature~Chinese culture~poetic theory,Department of East Asian Languages and Cultures
Robert B. Cervero,transportation planning~city and regional planning~transportation &amp; land use~transportation &amp; urban development~international transportation,Department of City &amp; Regional Planning
Robert B. Reich,economic inequality~industrial policy~macroeconomic policy~public management and leadership,Goldman School of Public Policy
Robert Barde,immigration~Asian immigration~Chinese Exclusion~Angel Island~immigration statistics,Haas School of Business
Robert Bartlett,mergers~venture capital~corporate finance~contracts~corporate law~business law~IPOs~private equity~securities,Boalt Hall School of Law
Robert Birgeneau,physics~phase transition behavior of novel states of matter,Department of Physics
Robert Bryant,symplectic geometry~differential geometry~Lie groups~geometric partial differential equations,Department of Mathematics
Robert C. Berring Jr.,China~law~contracts~Chinese law,Boalt Hall School of Law
Robert C. Leachman,logistics~manufacturing~semiconductors~scheduling~supply chain systems~dynamic production models~production planning and scheduling,Department of Industrial Engineering &amp; Operations Research
Robert Calo,journalism~cultural geography~social history~urban affairs~television news production,School of Journalism
Robert Cole,Japan~management of technology~Japanese work organization~organizational learning~knowledge management~organizational transformation,Department of Sociology~Haas School of Business
Robert D. Cooter,economic development~constitutional law~private law,Boalt Hall School of Law
Robert DiMartino,ocular disease and ocular therapeutic pharmacology~electronic instructional technology,School of Optometry
Robert Dibble,mechanical engineering~laser diagnostics,Department of Mechanical Engineering
Robert Dudley,metabolism~biomechanics~butterflies~energetics~flight~gliding~hummingbirds~insects~paleophysiology,Department of Integrative Biology
Robert Dynes,condensed matter physics and materials science,Department of Physics
Robert Edelstein,urban real estate economics~urban financial problems~property taxation~securitization and globalization of real estate asset markets~design of optimal mortgage debt instruments~variable-rate mortgage,Haas School of Business
Robert Ely,physics,Department of Physics
Robert F. Sawyer,regulatory policy~air pollutant formation and control~motor vehicle emissions~combustion chemistry~motor fuels~health effects of air pollution,Department of Mechanical Engineering
Robert G. Bea,risk management~risk assessment~reliability~human and organizational factors~quality assurance~quality control~design~construction~maintenance~operations~decommissioning~ocean engineered systems,Department of Civil and Environmental Engineering
Robert G. Bergman,organic and inorganic chemistry: synthesis and reaction mechanisms~organotransition metal compounds~homogeneous catalysis,Department of Chemistry
Robert G. Meyer,IC design~device technology,Division of Electrical Engineering/EECS
Robert H. Cole,constitutional law~torts~jurisprudence and legal ethics,Boalt Hall School of Law
Robert Harley,air pollution~atmospheric chemistry~motor vehicle emissions~ozone~sustainable transportation~air quality~emission inventory~photochemical air quality modeling~gasoline~diesel,Department of Civil and Environmental Engineering
Robert Harris,Japan~Europe~U.S.~competitive strategy~industry policy~antitrust regulation~mergers and acquisitions~telecommunications and transportation industries~comparative industry policies~performance in emerging technologies,Haas School of Business
Robert Hass,English~poetry~poetry writing~American poetry~history of the short poem in English~contemporary literature~translation~environmental writing~literature and the environment~the natural history tradition in American writing,Department of English
Robert Helsley,urban economics~local public finance~agglomeration,Haas School of Business
Robert J. Full,energetics~comparative biomechanics~arthropod~adhesion~comparative physiology~locomotion~neuromechanics~biomimicry~biological inspiration~reptile~gecko~amphibian~robots~artificial muscles,Department of Integrative Biology
Robert Jacobsen,physics~high energy physics~LEP collider and detectors~CKM matrix~B meson decays~CP violation in the B system,Department of Physics
Robert K. Brayton,computer-aided design for VLSI; computer-aided design of integrated circuits~computer systems,Division of Electrical Engineering/EECS
Robert Kaufman,modern/contemporary poetry and poetics; aesthetics~literary theory~&amp; history of criticism; Frankfurt School Critical Theory and the arts,Department of Comparative Literature
Robert L. Fischer,plant and microbial biology,Department of Plant and Microbial Biology
Robert L. Taylor,computational mechanics~mechanics of solids~finite element methods~finite element software,Department of Civil and Environmental Engineering
Robert Littlejohn,plasma physics~nonlinear dynamics~physics~atomic~molecular~optical~and nuclear physics~dissipation in many-particle systems~semiclassical treatment of spin-orbit forces in nuclei~normal form theory for mode conversion or Landau-Zener transition,Department of Physics
Robert M. Anderson,finance~probability theory~mathematical economics~nonstandard analysis,Department of Economics
Robert M. Oliver,risk management~operations research~industrial engineering~prediction of rare events~default and fraud detection~credit risk scoring~analysis tools~computer software~acquisition and negotiation strategies,Department of Industrial Engineering &amp; Operations Research
Robert M. Price ,political science~South African politics~comparative politics~US Foreign policy~ethnicity,Department of Political Science
Robert MacCoun,jury decision making~alternative dispute resolution~illicit drug dealing~alternative drug laws~harm reduction~gays and lesbians in the military~media biases~and bias in the use and interpretation of research evidence,Goldman School of Public Policy
Robert Mandell,contact lenses~structure~growth~and physiology of the cornea,Division of Computer Science/EECS~School of Optometry
Robert N. Bellah,religion~sociology~the post-traditional world,Department of Sociology
Robert P. Goldman,literary theory~South and Southeast Asian studies~Sanskrit literature~Indian epic studies~and psychoanalytically oriented cultural studies,Department of South and Southeast Asian Studies
Robert P. Hughes,critical theory~comparative literature~Slavic languages and literatures~Pushkin~Russian and European modernism~Russian poetry~Nabokov~Russian prose in the 1920s~Khodasevich&#039;s poetry~forms of autobiography~Andrei Belyi,Department of Comparative Literature~Department of Slavic Languages and Literatures
Robert P. Merges,antitrust~intellectual property~property rights~patent law~law and economics~copyright law~digital content~online contracts,Boalt Hall School of Law
Robert Powell,political science~game theory~international relations~formal theory and methods~nuclear deterrence theory~credibility~international conflict,Department of Political Science
Robert Rhew,geography~terrestrial-atmosphere exchange of trace gases~atmospheric chemistry and composition~halogen biogeochemistry~stratospheric ozone depletion issues~coastal salt marsh~chaparral~desert~tundra~boreal forest~grassland,Department of Geography
Robert Ritchie,structural materials~mechanical behavior in biomaterials~creep~fatigue and fracture of advanced metals~intermetallics~ceramics,Department of Materials Science and Engineering
Robert S. Lane,disease ecology~medical entomology~parasitology~ticks and tick-borne diseases,"Environmental Science, Policy &amp; Management"
Robert S. Zucker,synaptic transmission~cellular neurophysiology; synaptic biophysics~properties of neural circuits~photolysis~vital dyes of vesicle membrane~electrophysiological techniques~neuromodulator,Department of Molecular &amp; Cell Biology
Robert Sharf,east asian languages and cultures~medieval Chinese buddhism~Chan buddhism~Japanese buddhism~Zen buddhism~Tantric buddhism~buddhist art~ritual studies~methodological issues in the study of religion,Department of East Asian Languages and Cultures
Robert Spear,public health~environmental health science,School of Public Health
Robert T. Knight,cognitive neuroscience~language~physiology~memory~attention~psychology~working memory~neuropsychology~human prefrontal cortex~neural mechanisms of cognitive processing~sensory gating~sustained attention~ad novelty detection,Department of Psychology
Robert Tjian,eukaryotic molecular biology; biochemistry~cellular differentiation~chromatin function~RNA synthesis~single cell imaging~single molecule imaging,Department of Molecular &amp; Cell Biology
Robert Tripp,physics,Department of Physics
Robert W. Levenson,aging~gender~culture~brain~psychology~emotion~psychophysiology~marriage~clinical science~interpersonal interactions~dementia~relationships~neurodegenerative disease,Department of Psychology
Robert Wilensky,computer science~information management~digital documents~robust linking~using natural language processing to improve information access~digital information infrastructure,Division of Computer Science/EECS
Roberto Horowitz,adaptive control~learning and nonlinear control~control of robot manipulators~computer mechatronics systems~micro-electromechanical systems (MEMS)~intelligent vehicle~highways systems,Department of Mechanical Engineering
Robin C. Hartshorne,mathematics~algebraic geometry,Department of Mathematics
Robin Einhorn,taxation~United States political history~urban history~nineteenth century,Department of History
Robin T. Lakoff,linguistics~sociolinguistics~pragmatics~comparative syntax of Latin and English~the relation between linguistic form~social and psychological context; language gender; discourse strategies~discourse genres~politics of language,Department of Linguistics
Robion C. Kirby,mathematics~topology of manifolds,Department of Mathematics
Rodney J. Sobey,civil and environmental engineering~coastal hydrodynamics~estuaries and wetlands~wave theory~hydrodynamic circulation in the coastal-zone~transient response modes of water bodies,Department of Civil and Environmental Engineering
Rodolfo Mendoza-Denton,diversity~intergroup relations~education~prejudice~stigma,Department of Psychology
Rodrigo Almeida,disease ecology~vector~plant disease~Xylella fastidiosa~emerging,"Department of Environmental Science, Policy &amp; Management"
Roger Bales,hydrology~water resources~climate~earth science~environmental engineering,Department of Civil and Environmental Engineering
Roger Byrne,historical biogeography~vegetation change~prehistoric agriculture~pollen analysis~history of late-Pleistocene/Holocene environment~fossil pollen,Department of Geography
Roger Craine,economics~exchange rate regime credibility~the agency cost of capital~stochastic-volatility jump-diffusion models~dollarization~monetary policy shocks~security market responses,Department of Economics
Roger Falcone,x-rays~plasma physics~lasers~physics~materials~atomic physics~coherent control~ultrafast,Department of Physics
Roger Glassey,simulation of manufacturing systems~production planning &amp; scheduling~mathematical optimization,Department of Industrial Engineering &amp; Operations Research
Roger Purves,statistics~foundations of probability~measurability,Department of Statistics
Roland BÃ¼rgmann,geophysics~geology~earth and planetary science~geomechanics~tectonics~structural geology~active tectonics~fault zone processes~crustal deformation~space geodesy,Department of Earth and Planetary Science
Ron E. Hassner,international relations~international security~religion and conflict,Department of Political Science
Ron Fearing,robotics~gecko adhesion~bioinspired robots~mobile millirobots,Division of Electrical Engineering/EECS
Ronald C. Cohen,physical chemistry~water~climate~air pollution~atmospheric chemistry~environmental chemistry~analytical chemistry~ozone~nitrogen oxides~CO2~clouds,Department of Chemistry~Department of Earth and Planetary Science
Ronald Dahl,decision-making~adolescence~brain development~behavioral and emotional health~pubertal maturation~affective neuroscience~social neuroscience,School of Public Health
Ronald G. Amundson,soils~environmental science~isotope biogeochemistry~pedology~environmental history &amp; ethics~soilsbiogeochemistry~ecosystems,"Environmental Science, Policy &amp; Management"
Ronald Gronsky,internal structure of materials~engineering applications,Department of Materials Science and Engineering
Ronald Hendel,textual criticism~Hebrew bible~ancient Near Eastern religion and mythology~Northwest Semitic linguistics,Department of Near Eastern Studies
Ronald Krauss,lipid metabolism~diet~genetics,Department of Nutritional Sciences &amp; Toxicology
Ronald Lee,economics~evolutionary theory~mathematical demography~population aging~intergenerational transfers~economic demography~life history theory~population forecasting~national transfer accounts,Department of Demography~Department of Economics
Ronald Rael,3D printed buildings~additive manufacturing~earth architecture~mud~dirt~dust~U.S.-Mexico border wall~arid landscapes~ranching~acequias~alipne deserts~ceramics~rural architecture~ruralism~animation~digital modeling~furry buildings~unnatural materials~rasquachetecture,Department of Architecture~Department of Art Practice
Ronald S. Stroud,classics~Greek history and literature~Greek epigraphy,Department of Classics
Ronald W. Wolff,stochastic processes~queueing theory~queuing network~transmission systems,Department of Industrial Engineering &amp; Operations Research
Ronald W. Yeung,mathematical modeling~hydromechanics~naval architecture~numerical fluid mechanics~offshore mechanics~ocean processes~separated flows~wave-vorticity interaction~vortex-induced vibrations~stratified fluid flow~ocean energy~green ships~tidal energy~multi-hull flow physics~Helmholtz resonance~ship motion instabilities~tank resonance,Department of Mechanical Engineering
Ronelle Alexander,Slavic languages &amp; literatures~Balkan Slavic dialectology~Balkan linguistics~language contact~oral tradition~Parry-Lord theory of oral composition~South Slavic epic singers~issues of language and identity,Department of Slavic Languages and Literatures
Rosemary A. Joyce,Latin America~anthropology~gender~archaeology~sexuality~museums~cultural heritage~ethics~Central America~feminism,Department of Anthropology
Rosemary G. Gillespie,systematics~insect biology~evolution and conservation biology~spiders~oceanic islands,"Environmental Science, Policy &amp; Management"
Ross Levine,Bank Regulation~Central Banks~intellectual property~entrepreneurship~economic growth~International Financial Institutions,Haas School of Business
Roy L. Caldwell,ecology~evolution~Invertebrates~animal behavior~behavioral ecology~marine biology~stomatopods~crustaceans~cephalopods~octopus~mating systems~communication~sensory ecology~aggressive behavior~coral reef restoration,Department of Integrative Biology
Roya Maboudian,surface and interfacial science and engineering~thin-film science and technology~micro-/nano-systems technology~harsh-environment sensors~silicon carbide~biologically-inspired materials synthesis,Department of Chemical Engineering
Rudolf Schmid,botany~plant science,Department of Integrative Biology
Rui de Figueiredo,American politics~game theory~formal theory~political institutions~bureaucratic behavior~political behavior~interest groups~methodology,Haas School of Business
Russell L. Jones,plant and microbial biology,Department of Plant and Microbial Biology
Russell Vance,immunology~microbiology~infectious disease~molecular and cell biology,Department of Molecular &amp; Cell Biology
Ruth Rosen,gender~history of women~history of family and sexuality in 20th century America~history of immigration in the US,Department of History
Ruth Tringham,archaeology~Central European~Eastern European~Mediterranean~Anatolian prehistory~early agriculturalists~neolithic~bronze age~prehistoric architecture~household archaeology~feminist practice of archaeology~multimedia (hypermedia),Department of Anthropology
Ruzena Bajcsy,computer science~neuroscience~cognitive science~robotics~artificial intelligence~machine perception~image processing~artificial vision~medical image processing~information technology and humanities and social sciences,Division of Computer Science/EECS
S. Katharine Hammond,public health~environmental health sciences,School of Public Health
S. Leonard Syme,social epidemiology~community interventions,School of Public Health
S. Shankar Sastry,computer science~robotics~arial robots~cybersecurity~cyber defense~homeland defense~nonholonomic systems~control of hybrid systems~sensor networks~interactive visualization~robotic telesurgery~rapid prototyping,Division of Electrical Engineering/EECS
Saba Mahmood,religion~secularism~gender~ethics and politics~minorities~Islam~the Middle East~and South Asia,Department of Anthropology
Sabrina C AGARWAL,Bioarchaeology~skeletal biology~gender research~biological and evolutionary anthropology~osteology and osteoporosis~health and disease~paleopathology.,Department of Anthropology
Sally E. Thompson,nonlinear dynamics~spatial ecology~Ecohydrology~surface hydrology~arid and semi-arid watersheds and ecosystems~pattern formation~plant physiology~water resource sustainability,Department of Civil and Environmental Engineering
Sally J. Sutherland Goldman,women&#039;s studies~South and Southeast Asian studies~buddhist Sanskrit~Pali~Prakrit~Sanskrit language~valmiki ramayana translation project~South Asian women~epic and classical Sanskrit literature~vyakarana or Sanskrit grammar~Veda,Department of South and Southeast Asian Studies
Sally K. Fairfax,environmental policy~environmental science~policy &amp; management~forestry~wildlife~plant biology,"Environmental Science, Policy &amp; Management"
Sameer Srivastava,social networks~social capital~organizational sociology~formal organizations~social influence~culture~cognition,Haas School of Business
Samer Madanat,transportation systems analysis~transportation infrastructure management~transportation sustainability,Department of Civil and Environmental Engineering
Samera Esmeir,critical theory~Middle Eastern Studies~Legal and political thought~law and society~legal histories~colonialism and post-colonialism,Department of Rhetoric
Samuel Hung-nin Cheung,east asian languages and cultures~East Asian studies~vernacular Chinese literature and linguistics,Haas School of Business
Samuel Lucas,research methods~demography~sociology~social stratification~sociology of education~and research statistics,Department of Sociology
Samuel Markowitz,nuclear chemistry~environmental chemistry~nuclear reactions for chemical analyses,Department of Chemistry
Samuel Otter,English~African American literature~19th century American literature~17th and 18th century American literature~Herman Melville~race in American culture~literature and history~discourse and ideology~close reading,Department of English
Samuel S. Mao,mechanical engineering~processing~materials~energy transport~conversion and storage~nano~micro and meso scale~phenomena and devices~laser-material interactions~nonlinear science,Department of Mechanical Engineering
SanSan Kwan,dance studies~performance studies~Asian American studies,"Theatre, Dance, and Performance Studies"
Sandra Eder,gender~sexuality~medicine~science~US History 20th century~popular culture,Department of History
Sandra Susan Smith,trust~urban poverty~joblessness~race and ethnic inequality~social capital and social networks,Department of Sociology
Sandrine Dudoit,genomics~classification~statistical computing~biostatistics~cross-validation~density estimation~genetic mapping~high-throughput sequencing~loss-based estimation~microarray~model selection~multiple hypothesis testing~prediction~RNA-Seq,School of Public Health
Sanford H. Kadish,criminal law~punishment,Boalt Hall School of Law
Sangwei Lu,pathogenesis~Salmonella~foodborne diseases,School of Public Health
Sanjam Garg,cryptography,College of Engineering
Sanjay Govindjee,finite element analysis~Theoretical and computational solid mechanics~constitutive theory~micromechanics~polymer mechanics~elastomer modeling~thermomechanics~continuum mechanics~failure analysis,Department of Civil and Environmental Engineering
Sanjay Kumar,biomaterials~molecular and cellular bioengineering~stem cells~cancer biology~translational medicine,Department of Bioengineering
Sanjit Seshia,electronic design automation~theory~computer security~program analysis~dependable computing~computational logic~formal methods,Division of Computer Science/EECS~Division of Electrical Engineering/EECS
Sanjyot Mehendale,Near Eastern studies~Central Asia~Central Asian studies~archaeology and art history,Department of Near Eastern Studies
Sara Beckman,business~innovation~management~product development~operations strategy~environmental supply chain management,Haas School of Business
Sara McMains,geometric and solid modeling~general purpose computation on the GPU (GPGPU)~CAD/CAM~computational geometry~layered manufacturing~computer graphics and visualization~virtual prototyping~virtual reality,Department of Mechanical Engineering
Sarah Anzia,American politics~public policy~interest groups~state politics~local politics~election timing~voter turnout~public pensions~public sector unions~collective bargaining,Goldman School of Public Policy
Sarah Nelson,bioengineering~image reconstruction~signal processing~Magnetic Resonance Imaging and Spectroscopy~algorithm development~quantitative analysis~imaging biomarker discovery~neurological diseases~evaluation of therapy~brain cancer~prostate cancer~Multiple Sclerosis,Department of Bioengineering
Sarah Song,gender~race~citizenship~multiculturalism~immigration law and politics,Boalt Hall School of Law~Department of Political Science
Sarah Tasker,financial analysis~investor communication in the technology sector,Haas School of Business
Sarah Warshauer Freedman,writing~educational linguistics~international civics education~multiculturalism~human rights~English teaching~teacher education~teacher action research,Graduate School of Education
Satish Rao,combinatorial optimization~design and analysis of algorithms,Division of Computer Science/EECS
Sau-ling C. Wong,ethnicity~sexuality~telecommunications~Asian Americans~demographic transformation~fragmentation~globalization~transportation~internet technology~international conference~construction of gender,Department of Ethnic Studies
Saul Perlmutter,cosmology~dark energy~physics~astrophysics experiments~observational astrophysics~supernovae~accelerating universe,Department of Physics
Scott L. Stephens,global change~soils~fire~forestry~sudden oak death~fire ecology~fire behavior~environmental biology/ecology,"Department of Environmental Science, Policy &amp; Management"
Scott Moura,optimal control~PDE control~estimation~adaptive control~dynamic system modeling~energy management~battery management systems~vehicle-to-grid~smart grid,Department of Civil and Environmental Engineering
Scott Saul,English~African American studies~20th century American literature and culture~performance studies~jazz studies~histories of the avante-garde,Department of English
Scott Shenker,computer science~internet architecture~software-defined networking~datacenter computational paradigms~game theoretic approaches to resource allocation~large-scale distributed systems.,Division of Computer Science/EECS
Sean Gailmard,bureaucratic organizations~American political institutions~rational choice game theory~statistical modeling~laboratory experimentation in social science,Department of Political Science
Selig N. Kaplan,radiation reactions~interaction of radiation of matter~detection and measurement of ionizing radiation,Department of Nuclear Engineering
Serena Chen,close relationships~social cognition~social psychology~Self and identity~relational self~collective self~social power,Department of Psychology
Seth Holmes,immigration and migration~medical anthropology with foci on social theory and ethnography~social studies of medicine and science~social difference related to race~social difference related to socioeconomic status~social difference related to citizenship~social difference related to gender~social difference related to sexuality~the naturalization and normalization of social hierarchies and health disparities~social suffering and symbolic violence~urban and rural Latin America and North America~population health with focus on global health~population health with focus on health disparities~population health with focus on social determinants of health,School of Public Health
Seth R. Sanders,system theory~high frequency power conversion circuits~nonlinear circuit theory~renewable energy~electric machine design,Division of Electrical Engineering/EECS
Seth Yalcin,philosophy of language~logic~philosophy of mind~cognitive science~semantics~metaphysics,Department of Philosophy
Seung-Wuk Lee,nanotechnology~bio-inspired nanomaterials~synthetic viruses~regenerative tissue engineering materials~drug delivery vehicles,Department of Bioengineering
Severin Borenstein,industrial organization~applied microeconomics~energy markets~electricity deregulation~airline competition~market pricing &amp;amp;amp; competition,Haas School of Business
Seymour Chatman,semiotics~rhetoric~narrative structure and style in film and literature~language of film~relation between film and novel,Department of Rhetoric
Shachar Kariv,economics~experimental economics~behavioral economics~networks~microeconomic theory~social learning,Department of Economics
Shahwali Ahmadi,Persian languages~Persian literature,Department of Near Eastern Studies
Shai Levi,financial statement analysis~financial disclosure and pricing of firms&#039; equity and debt,Haas School of Business
Shannon C. Stimson,politics in Shakespeare~history of early modern political thought~history of political and economic thought~constitutionalism and modern jurisprudence,Department of Political Science
Shannon Jackson,rhetoric~performance studies~American studies~20th century art movements and critical theory~local culture and intercultural citizenship in turn-of-the-century United States~history and theory of theatre and performance art,Department of Rhetoric
